Probability Power PlanetMass Frequency Period RVamplitude
0.0 0.0 0.0 0.08 12.9 0.0
0.0 0.0 0.0 0.08 12.62 1.77
0.0 0.0 0.0 0.08 12.36 3.53
0.0 0.0 0.0 0.08 12.1 5.3
0.0 0.0 0.0 0.08 11.86 7.07
0.0 0.0 0.0 0.09 11.62 8.83
0.0 0.0 0.0 0.09 11.4 10.6
0.0 0.0 0.0 0.09 11.18 12.37
0.0 0.0 0.0 0.09 10.97 14.13
0.0 0.0 0.0 0.09 10.77 15.9
0.0 0.0 0.0 0.09 10.58 17.67
0.0 0.0 0.0 0.1 10.39 19.43
0.0 0.0 0.0 0.1 10.21 21.2
0.0 0.0 0.0 0.1 10.04 22.97
0.0 0.0 0.0 0.1 9.87 24.73
0.0 0.0 0.0 0.1 9.71 26.5
0.0 0.0 0.0 0.1 9.55 28.27
0.0 0.0 0.0 0.11 9.4 30.03
0.0 0.0 0.0 0.11 9.25 31.8
0.0 0.0 0.0 0.11 9.11 33.57
0.0 0.0 0.0 0.11 8.97 35.33
0.0 0.0 0.0 0.11 8.83 37.1
0.0 0.0 0.0 0.11 8.7 38.86
0.0 0.0 0.0 0.12 8.58 40.63
0.0 0.0 0.0 0.12 8.45 42.4
0.0 0.0 0.0 0.12 8.33 44.16
0.0 0.0 0.0 0.12 8.22 45.93
0.0 0.0 0.0 0.12 8.11 47.69
0.0 0.0 0.0 0.13 8.0 49.46
0.0 0.0 0.0 0.13 7.89 51.23
0.0 0.0 0.0 0.13 7.78 52.99
0.0 0.0 0.0 0.13 7.68 54.76
0.0 0.0 0.0 0.13 7.58 56.52
0.0 0.0 0.0 0.13 7.49 58.29
0.0 0.0 0.0 0.14 7.39 60.05
0.0 0.0 0.0 0.14 7.3 61.82
0.0 0.0 0.0 0.14 7.21 63.58
0.0 0.0 0.0 0.14 7.13 65.35
0.0 0.0 0.0 0.14 7.04 67.11
0.0 0.0 0.0 0.14 6.96 68.88
0.0 0.0 0.0 0.15 6.88 70.65
0.0 0.0 0.0 0.15 6.8 72.41
0.0 0.0 0.0 0.15 6.72 74.18
0.0 0.0 0.0 0.15 6.64 75.94
0.0 0.0 0.0 0.15 6.57 77.71
0.0 0.0 0.0 0.15 6.5 79.47
0.0 0.0 0.0 0.16 6.43 81.24
0.0 0.0 0.0 0.16 6.36 83.0
0.0 0.0 0.0 0.16 6.29 84.77
0.0 0.0 0.0 0.16 6.22 86.53
0.0 0.02 0.02 0.08 12.9 0.0
0.0 0.02 0.02 0.08 12.62 1.78
0.0 0.02 0.02 0.08 12.36 3.56
0.0 0.01 0.02 0.08 12.1 5.34
0.0 0.01 0.02 0.08 11.86 7.12
0.0 0.01 0.02 0.09 11.62 8.9
0.0 0.01 0.02 0.09 11.4 10.68
0.0 0.01 0.02 0.09 11.18 12.46
0.0 0.01 0.02 0.09 10.97 14.24
0.0 0.01 0.02 0.09 10.77 16.02
0.0 0.01 0.02 0.09 10.58 17.8
0.0 0.0 0.02 0.1 10.39 19.58
0.0 0.0 0.02 0.1 10.21 21.35
0.0 0.0 0.02 0.1 10.04 23.13
0.0 -0.0 0.02 0.1 9.87 24.91
0.0 -0.0 0.02 0.1 9.71 26.69
0.0 -0.0 0.02 0.1 9.55 28.47
0.0 -0.01 0.02 0.11 9.4 30.25
0.0 -0.01 0.02 0.11 9.25 32.03
0.0 -0.01 0.02 0.11 9.11 33.81
0.0 -0.01 0.02 0.11 8.97 35.59
0.0 -0.01 0.02 0.11 8.83 37.37
0.0 -0.01 0.02 0.11 8.7 39.15
0.0 -0.01 0.02 0.12 8.58 40.92
0.0 -0.01 0.02 0.12 8.45 42.7
0.0 -0.01 0.02 0.12 8.33 44.48
0.0 -0.01 0.02 0.12 8.22 46.26
0.0 -0.01 0.02 0.12 8.11 48.04
0.0 -0.01 0.02 0.13 8.0 49.82
0.0 -0.01 0.02 0.13 7.89 51.6
0.0 -0.0 0.02 0.13 7.78 53.37
0.0 -0.0 0.02 0.13 7.68 55.15
0.0 0.0 0.02 0.13 7.58 56.93
0.0 0.01 0.02 0.13 7.49 58.71
0.0 0.01 0.02 0.14 7.39 60.49
0.0 0.02 0.02 0.14 7.3 62.27
0.0 0.03 0.02 0.14 7.21 64.04
0.0 0.03 0.02 0.14 7.13 65.82
0.0 0.04 0.02 0.14 7.04 67.6
0.0 0.05 0.02 0.14 6.96 69.38
0.0 0.05 0.02 0.15 6.88 71.16
0.0 0.06 0.02 0.15 6.8 72.94
0.0 0.06 0.02 0.15 6.72 74.71
0.0 0.07 0.02 0.15 6.64 76.49
0.0 0.07 0.02 0.15 6.57 78.27
0.0 0.08 0.02 0.15 6.5 80.05
0.0 0.08 0.02 0.16 6.43 81.82
0.0 0.08 0.02 0.16 6.36 83.6
0.0 0.08 0.02 0.16 6.29 85.38
0.0 0.08 0.02 0.16 6.22 87.16
0.0 0.05 0.04 0.08 12.9 0.0
0.0 0.05 0.04 0.08 12.62 1.79
0.0 0.04 0.04 0.08 12.36 3.58
0.0 0.04 0.04 0.08 12.1 5.38
0.0 0.04 0.04 0.08 11.86 7.17
0.0 0.04 0.04 0.09 11.62 8.96
0.0 0.04 0.04 0.09 11.4 10.75
0.0 0.03 0.04 0.09 11.18 12.55
0.0 0.03 0.04 0.09 10.97 14.34
0.0 0.03 0.04 0.09 10.77 16.13
0.0 0.03 0.04 0.09 10.58 17.92
0.0 0.02 0.04 0.1 10.39 19.71
0.0 0.02 0.04 0.1 10.21 21.51
0.0 0.02 0.04 0.1 10.04 23.3
0.0 0.01 0.04 0.1 9.87 25.09
0.0 0.01 0.04 0.1 9.71 26.88
0.0 0.01 0.04 0.1 9.55 28.67
0.0 0.0 0.04 0.11 9.4 30.47
0.0 0.0 0.04 0.11 9.25 32.26
0.0 -0.0 0.04 0.11 9.11 34.05
0.0 -0.01 0.04 0.11 8.97 35.84
0.0 -0.01 0.04 0.11 8.83 37.63
0.0 -0.01 0.04 0.11 8.7 39.42
0.0 -0.01 0.04 0.12 8.58 41.21
0.0 -0.01 0.04 0.12 8.45 43.01
0.0 -0.01 0.04 0.12 8.33 44.8
0.0 -0.01 0.04 0.12 8.22 46.59
0.0 -0.01 0.04 0.12 8.11 48.38
0.0 -0.0 0.04 0.13 8.0 50.17
0.0 0.0 0.04 0.13 7.89 51.96
0.0 0.01 0.04 0.13 7.78 53.75
0.0 0.02 0.04 0.13 7.68 55.54
0.0 0.02 0.04 0.13 7.58 57.34
0.0 0.03 0.04 0.13 7.49 59.13
0.0 0.05 0.04 0.14 7.39 60.92
0.0 0.06 0.04 0.14 7.3 62.71
0.0 0.07 0.04 0.14 7.21 64.5
0.0 0.08 0.04 0.14 7.13 66.29
0.0 0.09 0.04 0.14 7.04 68.08
0.0 0.11 0.04 0.14 6.96 69.87
0.0 0.12 0.04 0.15 6.88 71.66
0.0 0.13 0.04 0.15 6.8 73.45
0.0 0.14 0.04 0.15 6.72 75.24
0.0 0.14 0.04 0.15 6.64 77.03
0.0 0.15 0.04 0.15 6.57 78.82
0.0 0.15 0.04 0.15 6.5 80.61
0.0 0.16 0.04 0.16 6.43 82.4
0.0 0.16 0.04 0.16 6.36 84.19
0.0 0.16 0.04 0.16 6.29 85.99
0.0 0.16 0.04 0.16 6.22 87.78
0.0 0.09 0.06 0.08 12.9 0.0
0.0 0.09 0.06 0.08 12.62 1.8
0.0 0.08 0.06 0.08 12.36 3.61
0.0 0.08 0.06 0.08 12.1 5.41
0.0 0.08 0.06 0.08 11.86 7.22
0.0 0.08 0.06 0.09 11.62 9.02
0.0 0.07 0.06 0.09 11.4 10.83
0.0 0.07 0.06 0.09 11.18 12.63
0.0 0.07 0.06 0.09 10.97 14.44
0.0 0.06 0.06 0.09 10.77 16.24
0.0 0.06 0.06 0.09 10.58 18.05
0.0 0.06 0.06 0.1 10.39 19.85
0.0 0.05 0.06 0.1 10.21 21.66
0.0 0.05 0.06 0.1 10.04 23.46
0.0 0.04 0.06 0.1 9.87 25.26
0.0 0.04 0.06 0.1 9.71 27.07
0.0 0.03 0.06 0.1 9.55 28.87
0.0 0.03 0.06 0.11 9.4 30.68
0.0 0.02 0.06 0.11 9.25 32.48
0.0 0.02 0.06 0.11 9.11 34.28
0.0 0.01 0.06 0.11 8.97 36.09
0.0 0.01 0.06 0.11 8.83 37.89
0.0 0.01 0.06 0.11 8.7 39.7
0.0 0.0 0.06 0.12 8.58 41.5
0.0 0.0 0.06 0.12 8.45 43.3
0.0 0.0 0.06 0.12 8.33 45.11
0.0 0.01 0.06 0.12 8.22 46.91
0.0 0.01 0.06 0.12 8.11 48.72
0.0 0.02 0.06 0.13 8.0 50.52
0.0 0.02 0.06 0.13 7.89 52.32
0.0 0.03 0.06 0.13 7.78 54.13
0.0 0.05 0.06 0.13 7.68 55.93
0.0 0.06 0.06 0.13 7.58 57.73
0.0 0.07 0.06 0.13 7.49 59.54
0.0 0.09 0.06 0.14 7.39 61.34
0.0 0.11 0.06 0.14 7.3 63.14
0.0 0.12 0.06 0.14 7.21 64.95
0.0 0.14 0.06 0.14 7.13 66.75
0.0 0.16 0.06 0.14 7.04 68.55
0.0 0.17 0.06 0.14 6.96 70.36
0.0 0.18 0.06 0.15 6.88 72.16
0.0 0.2 0.06 0.15 6.8 73.96
0.0 0.21 0.06 0.15 6.72 75.77
0.0 0.22 0.06 0.15 6.64 77.57
0.0 0.22 0.06 0.15 6.57 79.37
0.0 0.23 0.06 0.15 6.5 81.17
0.0 0.23 0.06 0.16 6.43 82.98
0.0 0.23 0.06 0.16 6.36 84.78
0.0 0.23 0.06 0.16 6.29 86.58
0.0 0.23 0.06 0.16 6.22 88.38
0.0 0.14 0.08 0.08 12.9 0.0
0.0 0.14 0.08 0.08 12.62 1.82
0.0 0.13 0.08 0.08 12.36 3.63
0.0 0.13 0.08 0.08 12.1 5.45
0.0 0.13 0.08 0.08 11.86 7.27
0.0 0.12 0.08 0.09 11.62 9.09
0.0 0.12 0.08 0.09 11.4 10.9
0.0 0.12 0.08 0.09 11.18 12.72
0.0 0.11 0.08 0.09 10.97 14.54
0.0 0.11 0.08 0.09 10.77 16.35
0.0 0.1 0.08 0.09 10.58 18.17
0.0 0.1 0.08 0.1 10.39 19.99
0.0 0.09 0.08 0.1 10.21 21.8
0.0 0.09 0.08 0.1 10.04 23.62
0.0 0.08 0.08 0.1 9.87 25.44
0.0 0.08 0.08 0.1 9.71 27.25
0.0 0.07 0.08 0.1 9.55 29.07
0.0 0.07 0.08 0.11 9.4 30.89
0.0 0.06 0.08 0.11 9.25 32.7
0.0 0.05 0.08 0.11 9.11 34.52
0.0 0.05 0.08 0.11 8.97 36.33
0.0 0.04 0.08 0.11 8.83 38.15
0.0 0.04 0.08 0.11 8.7 39.97
0.0 0.04 0.08 0.12 8.58 41.78
0.0 0.03 0.08 0.12 8.45 43.6
0.0 0.03 0.08 0.12 8.33 45.42
0.0 0.04 0.08 0.12 8.22 47.23
0.0 0.04 0.08 0.12 8.11 49.05
0.0 0.05 0.08 0.13 8.0 50.86
0.0 0.06 0.08 0.13 7.89 52.68
0.0 0.07 0.08 0.13 7.78 54.49
0.0 0.09 0.08 0.13 7.68 56.31
0.0 0.11 0.08 0.13 7.58 58.13
0.0 0.13 0.08 0.13 7.49 59.94
0.0 0.14 0.08 0.14 7.39 61.76
0.0 0.16 0.08 0.14 7.3 63.57
0.0 0.18 0.08 0.14 7.21 65.39
0.0 0.2 0.08 0.14 7.13 67.2
0.0 0.22 0.08 0.14 7.04 69.02
0.0 0.24 0.08 0.14 6.96 70.83
0.0 0.25 0.08 0.15 6.88 72.65
